HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND,distance
Cuca,2017,w,1
Lua,2020,w,1
Lua,2020,w,1
Lua,2009,w,1
Lua,2019,w,1
Lua,2018,w,1
Lua,2020,w,1
Luba,2008,w,1
Lucas,2016,m,1
Luce,2019,w,1
Luce,2020,w,1
Luce,2018,w,1
Lucia,2006,w,1
Lucy,2009,w,1
Lucy,2013,w,1
Lucy,2014,w,1
Lucy,2015,w,1
Lucy,2013,w,1
Lucy,2016,w,1
Lucy,2008,w,1
Lucy,2004,w,1
Lucy,2015,w,1
Lucy,2013,w,1
Lucy,2006,w,1
Lucy,2019,w,1
Lucy,2012,w,1
Lucy,2013,w,1
Lucy,2016,w,1
Lucy,2016,w,1
Lucy,2015,w,1
Lucy,2016,w,1
Lucy,2019,w,1
Lucy,2012,w,1
Lucy,2019,w,1
Lula,2014,m,1
Lula,2010,w,1
Luma,2018,w,1
Luma,2020,w,1
Luna,2014,w,1
Luna,2016,w,1
Luna,2016,w,1
Luna,2016,w,1
Luna,2016,w,1
Luna,2013,w,1
Luna,2007,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2010,w,1
Luna,2016,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2018,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2020,w,1
Luna,2016,w,1
Luna,2019,w,1
Luna,2016,w,1
Luna,2020,w,1
Luna,2010,w,1
Luna,2018,w,1
Luna,2011,w,1
Luna,2020,w,1
Luna,2019,w,1
Luna,2019,w,1
Luna,2019,w,1
Luna,2019,w,1
Luna,2013,w,1
Luna,2018,w,1
Luna,2011,w,1
Luna,2019,w,1
Luna,2018,w,1
Luna,2014,w,1
Luna,2013,w,1
Luna,2010,w,1
Luna,2010,w,1
Luna,2010,w,1
Luna,2005,w,1
Luna,2006,w,1
Luna,2006,w,1
Luna,2006,w,1
Luna,2007,w,1
Luna,2006,w,1
Luna,2007,w,1
Luna,2007,w,1
Luna,2007,w,1
Luna,2008,w,1
Luna,2008,w,1
Luna,2015,w,1
Luna,2015,w,1
Luna,2008,w,1
Luna,2016,w,1
Luna,2011,w,1
Luna,2011,w,1
Luna,2014,w,1
Luna,2011,w,1
Luna,2013,w,1
Luna,2013,w,1
Luna,2015,w,1
Luna,2013,w,1
Luna,2005,w,1
Luna,2013,w,1
Luna,2009,w,1
Luna,2013,w,1
Luna,2014,w,1
Luna,2014,w,1
Luna,2012,w,1
Luna,2012,w,1
Luna,2011,w,1
Luna,2009,w,1
Luna,2008,w,1
Luna,2003,w,1
Luna,2013,w,1
Luna,2018,w,1
Luna,2019,w,1
Luna,2012,w,1
Luna,2018,w,1
Luna,2018,w,1
Luna,2018,w,1
Luna,2018,w,1
Luna,2017,w,1
Luna,2018,w,1
Luna,2015,w,1
Luna,2017,w,1
Luna,2015,w,1
Luna,2012,w,1
Lupa,2007,w,1
Lupa,2014,w,1
Lupa,2009,w,1
Lupa,2016,w,1
Lupa,2015,w,1
Yuca,2020,w,1
